Date,Trade,Size,Entry,Avg Exit,P/L %,P/L in $
23-Mar,QQQ 260323P587,50,1.56,1.2,-23.08%,"-$1,800"
23-Mar,QQQ 260323P592,50,1.33,5.82,337.59%,"$22,450"
23-Mar,QQQ 260323C589,50,1.15,1.97,71.30%,"$4,100"
24-Mar,QQQ 260324C587,50,2.065,0.99,-52.06%,"-$5,375"
24-Mar,QQQ 260324P583,50,2.37,0.15,-93.67%,"-$11,100"
25-Mar,QQQ 260325P588,50,2.25,1.16,-48.44%,"-$5,450"
25-Mar,QQQ 260325P589,50,1.65,3.9,136.36%,"$11,250"
25-Mar,QQQ 260325C589,50,1.29,1.75,35.66%,"$2,300"
26-Mar,QQQ 260326P582,50,1.85,1.07,-42.16%,"-$3,900"
26-Mar,QQQ 260326P581,50,1.63,7.4,353.99%,"$28,850"
27-Mar,QQQ 260327P569,50,2.3,3.6,56.52%,"$6,500"
27-Mar,QQQ 260327C568,50,1.83,2.55,39.34%,"$3,600"
27-Mar,QQQ 260327P567,50,1.45,1.24,-14.48%,"-$1,050"
27-Mar,QQQ 260327C568,50,1.03,0.63,-38.83%,"-$2,000"
27-Mar,QQQ 260327P565,50,0.96,3.3,243.75%,"$11,700"
